acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,music_key,liveness,loudness,mode,name,speechiness,tempo,time_signature,track_href,type,uri,valence
0.171,https://api.spotify.com/v1/audio-analysis/09IStsImFySgyp0pIQdqAc,0.753,184732,0.657,09IStsImFySgyp0pIQdqAc,0,7,0.112,-3.061,1,"The Middle",0.0449,107.01,4,https://api.spotify.com/v1/tracks/09IStsImFySgyp0pIQdqAc,audio_features,spotify:track:09IStsImFySgyp0pIQdqAc,0.437
0.06,https://api.spotify.com/v1/audio-analysis/09qzRI951OVkXGCc33gzcT,0.673,208107,0.842,09qzRI951OVkXGCc33gzcT,0.000257,3,0.178,-4.627,1,"My Maria",0.0366,125.57,4,https://api.spotify.com/v1/tracks/09qzRI951OVkXGCc33gzcT,audio_features,spotify:track:09qzRI951OVkXGCc33gzcT,0.898
0.262,https://api.spotify.com/v1/audio-analysis/09VACB0akCnPueTFnjN5Pn,0.602,201840,0.472,09VACB0akCnPueTFnjN5Pn,0,6,0.172,-5.375,0,"Rush Hour",0.265,163.817,4,https://api.spotify.com/v1/tracks/09VACB0akCnPueTFnjN5Pn,audio_features,spotify:track:09VACB0akCnPueTFnjN5Pn,0.304
0.635,https://api.spotify.com/v1/audio-analysis/0Aa3g9EQoPNt6PiKjaUeb7,0.416,160173,0.298,0Aa3g9EQoPNt6PiKjaUeb7,0.00000216,7,0.136,-8.499,1,"Every Kind Of Way",0.0442,95.386,4,https://api.spotify.com/v1/tracks/0Aa3g9EQoPNt6PiKjaUeb7,audio_features,spotify:track:0Aa3g9EQoPNt6PiKjaUeb7,0.191
0.0518,https://api.spotify.com/v1/audio-analysis/0aMHIW1lqrulVCx0LLlr6a,0.679,307188,0.645,0aMHIW1lqrulVCx0LLlr6a,0,6,0.145,-7.777,0,"Cocoa Butter Kisses",0.222,125.795,4,https://api.spotify.com/v1/tracks/0aMHIW1lqrulVCx0LLlr6a,audio_features,spotify:track:0aMHIW1lqrulVCx0LLlr6a,0.203
0.79,https://api.spotify.com/v1/audio-analysis/0AO2M7L6llOdox0rbpqioQ,0.725,205893,0.421,0AO2M7L6llOdox0rbpqioQ,0,7,0.12,-8.238,1,"Something Devine",0.0602,86.01,4,https://api.spotify.com/v1/tracks/0AO2M7L6llOdox0rbpqioQ,audio_features,spotify:track:0AO2M7L6llOdox0rbpqioQ,0.576
0.00282,https://api.spotify.com/v1/audio-analysis/0aZJGkkXR3DgaFqo5sB8ot,0.497,198000,0.923,0aZJGkkXR3DgaFqo5sB8ot,0,2,0.158,-4.512,1,Weightless,0.138,181.074,4,https://api.spotify.com/v1/tracks/0aZJGkkXR3DgaFqo5sB8ot,audio_features,spotify:track:0aZJGkkXR3DgaFqo5sB8ot,0.663
0.0641,https://api.spotify.com/v1/audio-analysis/0b1WDEm8pNMoSGa3Je0sqW,0.78,275574,0.694,0b1WDEm8pNMoSGa3Je0sqW,0.344,11,0.22,-6.796,1,"Came Out of a Lady",0.0408,118.983,3,https://api.spotify.com/v1/tracks/0b1WDEm8pNMoSGa3Je0sqW,audio_features,spotify:track:0b1WDEm8pNMoSGa3Je0sqW,0.803
0.0724,https://api.spotify.com/v1/audio-analysis/0b9dqp1bH9hrA0bnmKMWb0,0.689,265893,0.82,0b9dqp1bH9hrA0bnmKMWb0,0.000013,9,0.137,-3.989,1,"Whole Lotta Quit",0.0502,121.017,4,https://api.spotify.com/v1/tracks/0b9dqp1bH9hrA0bnmKMWb0,audio_features,spotify:track:0b9dqp1bH9hrA0bnmKMWb0,0.64
0.508,https://api.spotify.com/v1/audio-analysis/0bfvHnWWOeU1U5XeKyVLbW,0.581,203680,0.78,0bfvHnWWOeU1U5XeKyVLbW,0.0000107,4,0.0799,-7.053,1,"Can't Take My Eyes off You",0.0567,123.711,4,https://api.spotify.com/v1/tracks/0bfvHnWWOeU1U5XeKyVLbW,audio_features,spotify:track:0bfvHnWWOeU1U5XeKyVLbW,0.561
0.00114,https://api.spotify.com/v1/audio-analysis/0bJBEgt9oa0aCQuzvtEFVu,0.432,226093,0.816,0bJBEgt9oa0aCQuzvtEFVu,0.00000162,2,0.144,-6.086,1,"When I'm With You",0.0339,158.166,3,https://api.spotify.com/v1/tracks/0bJBEgt9oa0aCQuzvtEFVu,audio_features,spotify:track:0bJBEgt9oa0aCQuzvtEFVu,0.282
